"","rowname","PlateID","WellName","Field","Timepoint","timepoint","X","Y","FRET1","CFP.Mean","YFP.Mean","Cell.Roundness","Cell.Area.µm","dist","dfret","df.fret","Well2","Treatment","time"
"37","10",16765,"B10",2,1,"2",933,490,0.854421,708.781,605.598,0.98091,63.0264,2.82842712474619,0.028577,3.46033875647216,"10","FSK",2
"38","10",16765,"B10",2,1,"3",930,481,0.86341,901.374,778.255,0.969743,67.5098,9.48683298050514,0.037566,4.54880098420525,"10","FSK",6
"39","10",16765,"B10",2,1,"4",927,478,0.938294,734.939,689.589,0.976608,63.9748,4.24264068711928,0.11245,13.6163730680371,"10","FSK",10
"40","11",16765,"B10",2,1,"1",840,556,0.837229,573.863,480.454,0.93221,65.8716,0,0,0,"10","FSK",0
"41","11",16765,"B10",2,1,"2",835,554,0.844177,500.871,422.824,0.824484,67.9409,5.3851648071345,0.00694799999999995,0.829880474756602,"10","FSK",2
"42","11",16765,"B10",2,1,"3",833,546,0.834648,582.378,486.08,0.879751,67.5098,8.24621125123532,-0.00258100000000006,-0.308278857994653,"10","FSK",6
"43","11",16765,"B10",2,1,"4",830,542,0.856921,525.198,450.053,0.891576,65.0094,5,0.019692,2.35204466161588,"10","FSK",10
"44","12",16765,"B10",2,1,"1",595,639,1.31205,5276.8,6923.43,0.991571,89.4957,0,0,0,"10","FSK",0
"45","12",16765,"B10",2,1,"2",591,638,1.33666,4961.19,6631.41,0.987148,85.4434,4.12310562561766,0.02461,1.87569071300637,"10","FSK",2
"46","12",16765,"B10",2,1,"3",589,629,1.30533,5569.38,7269.88,1.00945,88.806,9.21954445729289,-0.00671999999999984,-0.512175603063895,"10","FSK",6
"47","12",16765,"B10",2,1,"4",586,626,1.31926,5250.92,6927.35,0.986913,87.0816,4.24264068711928,0.00721000000000016,0.54952174078733,"10","FSK",10
"48","13",16765,"B10",2,1,"1",175,928,0.814402,1179.74,960.782,1.00645,75.0971,0,0,0,"10","FSK",0
"49","13",16765,"B10",2,1,"2",170,927,0.835626,943.381,788.314,0.992338,68.7168,5.09901951359278,0.021224,2.60608397327119,"10","FSK",2
"50","13",16765,"B10",2,1,"3",167,919,0.823034,1230.35,1012.62,0.994316,73.5451,8.54400374531753,0.00863200000000008,1.05991881159428,"10","FSK",6
"51","13",16765,"B10",2,1,"4",165,914,0.844829,1027.81,868.319,0.996938,70.7861,5.3851648071345,0.0304270000000001,3.73611557928395,"10","FSK",10
"52","14",16765,"B10",2,1,"1",184,971,0.842062,443.722,373.641,0.983815,52.4214,0,0,0,"10","FSK",0
"53","15",16765,"B10",2,1,"1",994,1066,0.878555,593.369,521.307,0.996438,44.6616,0,0,0,"10","FSK",0
"54","15",16765,"B10",2,1,"2",991,1066,0.886064,617.672,547.296,0.997335,45.9549,3,0.00750899999999999,0.854698909003988,"10","FSK",2
"55","15",16765,"B10",2,1,"3",989,1057,0.966657,586.059,566.519,1.00284,46.386,9.21954445729289,0.088102,10.0280574352203,"10","FSK",6
"56","15",16765,"B10",2,1,"4",985,1053,1.05029,583.063,612.384,1.00613,46.6447,5.65685424949238,0.171735,19.547438691943,"10","FSK",10
"57","16",16765,"B10",1,1,"1",620,80,0.791379,1862.1,1473.62,0.937005,94.0653,0,0,0,"10","FSK",0
"58","16",16765,"B10",1,1,"2",615,75,0.828377,2224.47,1842.7,0.935686,98.8936,7.07106781186548,0.036998,4.67513037368947,"10","FSK",2
"59","16",16765,"B10",1,1,"3",613,71,0.866413,691.695,599.294,0.833442,108.292,4.47213595499958,0.0750339999999999,9.48142419750839,"10","FSK",6
"60","16",16765,"B10",1,1,"4",610,65,0.971466,1832.35,1780.07,0.924369,95.1862,6.70820393249937,0.180087,22.7561004272289,"10","FSK",10
"61","17",16765,"B10",1,1,"1",701,122,0.780132,929.127,724.841,0.938819,65.2681,0,0,0,"10","FSK",0
"62","17",16765,"B10",1,1,"2",697,116,0.764869,981.462,750.69,0.946093,66.1303,7.21110255092798,-0.015263,-1.95646377792476,"10","FSK",2
"63","17",16765,"B10",1,1,"3",692,110,0.803464,684.38,549.875,0.833331,65.3543,7.81024967590665,0.0233319999999999,2.99077591997251,"10","FSK",6
"64","17",16765,"B10",1,1,"4",694,105,0.777174,960.807,746.714,0.954413,65.6992,5.3851648071345,-0.00295800000000002,-0.379166602574951,"10","FSK",10
"65","18",16765,"B10",1,1,"1",653,272,0.64533,576.747,372.192,0.591014,115.189,0,0,0,"10","FSK",0
"66","18",16765,"B10",1,1,"2",647,265,0.649639,566.852,368.249,0.552459,127.95,9.21954445729289,0.00430900000000001,0.667720391117724,"10","FSK",2
"67","19",16765,"B10",1,1,"1",598,269,0.767036,671.774,515.275,0.853435,69.3204,0,0,0,"10","FSK",0
"68","19",16765,"B10",1,1,"2",593,263,0.766563,799.088,612.551,0.9124,60.8709,7.81024967590665,-0.000473000000000057,-0.0616659452750662,"10","FSK",2
"69","20",16765,"B10",1,1,"1",862,310,0.826039,877.775,725.076,1.00906,63.1988,0,0,0,"10","FSK",0
"70","20",16765,"B10",1,1,"2",856,305,0.818341,1056.83,864.85,0.981222,64.4921,7.81024967590665,-0.00769799999999998,-0.931917258143984,"10","FSK",2
"71","20",16765,"B10",1,1,"3",852,298,0.885294,427.962,378.872,0.97355,56.7324,8.06225774829855,0.0592550000000001,7.17339011838425,"10","FSK",6
"72","20",16765,"B10",1,1,"4",850,295,0.903755,892.201,806.331,1.00115,63.8023,3.60555127546399,0.077716,9.40827249076618,"10","FSK",10
"73","21",16765,"B10",1,1,"1",760,458,0.737187,653.834,481.998,0.575694,104.67,0,0,0,"10","FSK",0
"74","21",16765,"B10",1,1,"2",756,453,0.71573,801.84,573.901,0.568605,111.827,6.40312423743285,-0.0214570000000001,-2.91065903224013,"10","FSK",2
"75","22",16765,"B10",1,1,"1",274,473,0.798429,1749.7,1397.01,0.96588,61.3882,0,0,0,"10","FSK",0
"76","22",16765,"B10",1,1,"2",269,468,0.816196,2042.39,1666.99,0.976186,62.5091,7.07106781186548,0.017767,2.22524482452416,"10","FSK",2
"77","22",16765,"B10",1,1,"3",267,462,0.90981,704.467,640.93,0.956175,64.4921,6.32455532033676,0.111381,13.9500193504995,"10","FSK",6
"78","22",16765,"B10",1,1,"4",267,458,0.972808,1700.25,1654.02,0.966676,61.4744,4,0.174379,21.8402638180727,"10","FSK",10
"79","23",16765,"B10",1,1,"1",191,487,0.717594,1352.21,970.334,0.993788,68.8893,0,0,0,"10","FSK",0
"80","23",16765,"B10",1,1,"2",185,482,0.742518,1325.04,983.867,0.984856,69.3204,7.81024967590665,0.0249240000000001,3.47327318790292,"10","FSK",2
"81","23",16765,"B10",1,1,"3",185,476,0.85436,1053.45,900.027,0.994818,63.1126,6,0.136766,19.0589664908012,"10","FSK",6
"82","23",16765,"B10",1,1,"4",181,472,0.902672,1210.96,1093.1,1.00218,68.372,5.65685424949238,0.185078,25.7914642541604,"10","FSK",10
"83","24",16765,"B10",1,1,"1",846,524,0.826787,912.521,754.46,0.989636,55.6115,0,0,0,"10","FSK",0
"84","24",16765,"B10",1,1,"2",841,518,0.81333,1074.06,873.562,0.972174,55.2666,7.81024967590665,-0.0134570000000001,-1.62762597863779,"10","FSK",2
